OBD_Code,Description,Description_Length,Prefix
P04B9,Fuel Fill Door Position Sensor/Switch Circuit Low,49,P0
P04BA,Fuel Fill Door Position Sensor/Switch Circuit High,50,P0
P04BB,Fuel Fill Door Lock Control Circuit/Open,40,P0
P04BC,Fuel Fill Door Lock Control Range/Performance,45,P0
P04BD,Fuel Fill Door Lock Control Circuit Low,39,P0
P04BE,Fuel Fill Door Lock Control Circuit High,40,P0
P04BF,Fuel Fill Door Unlock Control Circuit/Open,42,P0
P04C0,Fuel Fill Door Unlock Control Range/Performance,47,P0
P04C1,Fuel Fill Door Unlock Control Circuit Low,41,P0
P04C2,Fuel Fill Door Unlock Control Circuit High,42,P0
P04C3,Fuel Fill Door Lock Position Sensor/Switch Circuit,50,P0
P04C4,Fuel Fill Door Lock Position Sensor/Switch Circuit Range/Performance,68,P0
P04C5,Fuel Fill Door Lock Position Sensor/Switch Circuit Low,54,P0
P04C6,Fuel Fill Door Lock Position Sensor/Switch Circuit High,55,P0
P04C7,Fuel Fill Door Lock Position Sensor/Switch Circuit Intermittent/Erratic,71,P0
P04C8,Fuel Fill Door Open Request Sensor/Switch Circuit,49,P0
P04C9,Fuel Fill Door Open Request Sensor/Switch Performance/Stuck Off,63,P0
P04CA,Fuel Fill Door Open Request Sensor/Switch Circuit Low,53,P0
P04CB,Fuel Fill Door Open Request Sensor/Switch Circuit High,54,P0
P04CC,Fuel Fill Door Open Request Sensor/Switch Circuit Intermittent/Erratic,70,P0
P04CD,Fuel Fill Door Open Request Sensor/Switch Stuck On,50,P0
P04CE,EGR Temperature Sensor C Circuit,32,P0
P04CF,EGR Temperature Sensor C Circuit Range/Performance,50,P0
P04D0,EGR Temperature Sensor C Circuit Low,36,P0
P04D1,EGR Temperature Sensor C Circuit High,37,P0
P04D2,EGR Temperature Sensor C Circuit Intermittent/Erratic,53,P0
P04D3,Exhaust Brake Input Circuit,27,P0
P04D4,Exhaust Brake Input Circuit Range/Performance,45,P0
P04D5,Exhaust Brake Input Circuit Low,31,P0
P04D6,Exhaust Brake Input Circuit High,32,P0
P04D7,Exhaust Brake Input Circuit Intermittent/Erratic,48,P0
P04D8,Excessive Time To Enter Closed Loop EGR Control,47,P0
P04D9,Closed Loop EGR Control At Limit - Flow Too Low,47,P0
P04DA,Closed Loop EGR Control At Limit - Flow Too High,48,P0
P04DB,Crankcase Ventilation System Disconnected,41,P0
P04DC,Fuel Fill Door Position Sensor/Switch Circuit Range/Performance,63,P0
P04DD,Cold Start EGR A Flow Insufficient Detected,43,P0
P04DE,Cold Start EGR A Flow Excessive Detected,40,P0
P04DF,EVAP System Purge Control Valve A Performance/Stuck Open,56,P0
P04E0,EVAP System Purge Control Valve A Stuck Closed,46,P0
P04E1,Crankcase Ventilation Hose Connection Sensor Circuit,52,P0
P04E2,Crankcase Ventilation Hose Connection Sensor Circuit Low,56,P0
P04E3,Crankcase Ventilation Hose Connection Sensor Circuit High,57,P0
P04E4,Crankcase Ventilation Hose Connection Sensor Circuit Intermittent/Erratic,73,P0
P04E5,EGR Temperature Sensor D Circuit,32,P0
P04E6,EGR Temperature Sensor D Circuit Range/Performance,50,P0
P04E7,EGR Temperature Sensor D Circuit Low,36,P0
P04E8,EGR Temperature Sensor D Circuit High,37,P0
P04E9,EGR Temperature Sensor D Circuit Intermittent/Erratic,53,P0
P04EA,EVAP System Small Leak Detected - Fuel Tank Side,48,P0
P04EB,EVAP System Small Leak Detected - Fresh Air Side,48,P0
P04EC,EVAP System Large Leak Detected - Fuel Tank Side,48,P0
P04ED,EVAP System Large Leak Detected - Fresh Air Side,48,P0
P04EE,EVAP System Very Small Leak Detected - Fuel Tank Side,53,P0
P04EF,EVAP System Very Small Leak Detected - Fresh Air Side,53,P0
P04F0,EVAP System High Load Purge Line A Performance,46,P0
P04F1,EVAP System Purge Line Performance,34,P0
P04F2,Catalyst Heater Supply Voltage Bank 1,37,P0
P04F3,Catalyst Heater Supply Voltage Bank 2,37,P0
P04F4,Catalyst Heater Circuit Low Bank 1,34,P0
P04F5,Catalyst Heater Circuit Low Bank 2,34,P0
P04F6,Catalyst Heater Circuit High Bank 1,35,P0
P04F7,Catalyst Heater Circuit High Bank 2,35,P0
P04F8,Catalyst Heater Circuit Intermittent Bank 1,43,P0
P04F9,Catalyst Heater Circuit Intermittent Bank 2,43,P0
P04FA,EGR A Control Temperature Too High,34,P0
P04FB,Crankcase Ventilation Hose Connection Sensor Range/Performance,62,P0
P04FC,Crankcase Ventilation System Performance,40,P0
P04FD,EGR Actuator A Control Processor Performance,44,P0
P04FE,Catalyst Heater Circuit Performance Bank 1,42,P0
P04FF,Catalyst Heater Circuit Performance Bank 2,42,P0
P0500,Vehicle Speed Sensor A Circuit,30,P0
P0501,Vehicle Speed Sensor A Circuit Range/Performance,48,P0
P0502,Vehicle Speed Sensor A Circuit Low,34,P0
P0503,Vehicle Speed Sensor A Circuit Intermittent/Erratic/High,56,P0
P0504,Brake Switch A/B Correlation,28,P0
P0505,Idle Control System,19,P0
P0506,Idle Control System RPM - Lower Than Expected,45,P0
P0507,Idle Control System RPM - Higher Than Expected,46,P0
P0508,Idle Air Control System Circuit Low,35,P0
P0509,Idle Air Control System Circuit High,36,P0
P050A,Cold Start Idle Control System Performance,42,P0
P050B,Cold Start Ignition Timing Performance,38,P0
P050C,Cold Start Engine Coolant Temperature Performance,49,P0
P050D,Cold Start Rough Idle,21,P0
P050E,Cold Start Engine Exhaust Temperature Too Low,45,P0
P050F,Brake Assist Vacuum Too Low,27,P0
P0510,Closed Throttle Position Switch,31,P0
P0511,Idle Air Control Circuit,24,P0
P0512,Starter Request Circuit,23,P0
P0513,Incorrect Immobilizer Key,25,P0
P0514,Battery Temperature Sensor Circuit Range/Performance,52,P0
P0515,Battery Temperature Sensor Circuit,34,P0
P0516,Battery Temperature Sensor Circuit Low,38,P0
P0517,Battery Temperature Sensor Circuit High,39,P0
P0518,Idle Air Control Circuit Intermittent,37,P0
P0519,Idle Air Control System Performance,35,P0
P051A,Crankcase Pressure Sensor A Circuit,35,P0
P051B,Crankcase Pressure Sensor A Circuit Range/Performance,53,P0
P051C,Crankcase Pressure Sensor A Circuit Low,39,P0
P051D,Crankcase Pressure Sensor A Circuit High,40,P0
P051E,Crankcase Pressure Sensor A Circuit Intermittent/Erratic,56,P0
P051F,PCV Filter Restriction,22,P0
P0520,Engine Oil Pressure Sensor/Switch A Circuit,43,P0
P0521,Engine Oil Pressure Sensor/Switch A Range/Performance,53,P0
P0522,Engine Oil Pressure Sensor/Switch A Low,39,P0
P0523,Engine Oil Pressure Sensor/Switch A High,40,P0
P0524,Engine Oil Pressure Too Low,27,P0
P0525,Cruise Control Servo Control Circuit Range/Performance,54,P0
P0526,Fan Speed Sensor Circuit,24,P0
P0527,Fan Speed Sensor Circuit Range/Performance,42,P0
P0528,Fan Speed Sensor Circuit No Signal,34,P0
P0529,Fan Speed Sensor Circuit Intermittent,37,P0
P052A,Cold Start A Camshaft Position Timing Over-Advanced Bank 1,58,P0
P052B,Cold Start A Camshaft Position Timing Over-Retarded Bank 1,58,P0
P052C,Cold Start A Camshaft Position Timing Over-Advanced Bank 2,58,P0
P052D,Cold Start A Camshaft Position Timing Over-Retarded Bank 2,58,P0
P052E,PCV Regulator Valve Performance,31,P0
P052F,Glow Plug Control Module 1 System Voltage,41,P0
P0530,A/C Refrigerant Pressure Sensor A Circuit,41,P0
P0531,A/C Refrigerant Pressure Sensor A Circuit Range/Performance,59,P0
P0532,A/C Refrigerant Pressure Sensor A Circuit Low,45,P0
P0533,A/C Refrigerant Pressure Sensor A Circuit High,46,P0
P0534,A/C Refrigerant Charge Loss,27,P0
P0535,A/C Evaporator Temperature Sensor Circuit,41,P0
P0536,A/C Evaporator Temperature Sensor Circuit Range/Performance,59,P0
P0537,A/C Evaporator Temperature Sensor Circuit Low,45,P0
P0538,A/C Evaporator Temperature Sensor Circuit High,46,P0
P0539,A/C Evaporator Temperature Sensor Circuit Intermittent,54,P0
P053A,PCV Heater A Control Circuit /Open,34,P0
P053B,PCV Heater A Control Circuit Low,32,P0
P053C,PCV Heater A Control Circuit High,33,P0
P053D,PCV Heater A Performance,24,P0
P053E,Crankcase Pressure Too High,27,P0
P053F,Cold Start Fuel Pressure Performance Bank 1,43,P0
P0540,Intake Air Heater A Circuit,27,P0
P0541,Intake Air Heater A Circuit Low,31,P0
P0542,Intake Air Heater A Circuit High,32,P0
P0543,Intake Air Heater A Circuit Open,32,P0
P0544,Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 1,54,P0
P0545,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 1,58,P0
P0546,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 1,59,P0
P0547,Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 1,54,P0
P0548,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 1,58,P0
P0549,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 1,59,P0
P054A,Cold Start B Camshaft Position Timing Over-Advanced Bank 1,58,P0
P054B,Cold Start B Camshaft Position Timing Over-Retarded Bank 1,58,P0
P054C,Cold Start B Camshaft Position Timing Over-Advanced Bank 2,58,P0
P054D,Cold Start B Camshaft Position Timing Over-Retarded Bank 2,58,P0
P054E,Idle Control System - Fuel Quantity Lower Than Expected,55,P0
P054F,Idle Control System - Fuel Quantity Higher Than Expected,56,P0
P0550,Power Steering Pressure Sensor/Switch Circuit,45,P0
P0551,Power Steering Pressure Sensor/Switch Circuit Range/Performance,63,P0
P0552,Power Steering Pressure Sensor/Switch Circuit Low,49,P0
P0553,Power Steering Pressure Sensor/Switch Circuit High,50,P0
P0554,Power Steering Pressure Sensor/Switch Circuit Intermittent,58,P0
P0555,Brake Booster Pressure Sensor Circuit,37,P0
P0556,Brake Booster Pressure Sensor Circuit Range/Performance,55,P0
P0557,Brake Booster Pressure Sensor Circuit Low,41,P0
P0558,Brake Booster Pressure Sensor Circuit High,42,P0
P0559,Brake Booster Pressure Sensor Circuit Intermittent,50,P0
P055A,Engine Oil Pressure Sensor/Switch B Circuit,43,P0
P055B,Engine Oil Pressure Sensor/Switch B Range/Performance,53,P0
P055C,Engine Oil Pressure Sensor/Switch B Low,39,P0
P055D,Engine Oil Pressure Sensor/Switch B High,40,P0
P055E,Oxygen Sensor Control Module System Voltage,43,P0
P055F,Engine Oil Pressure Out of Range,32,P0
P0560,System Voltage,14,P0
P0561,System Voltage Unstable,23,P0
P0562,System Voltage Low,18,P0
P0563,System Voltage High,19,P0
P0564,Cruise Control Multi-Function Input A Circuit,45,P0
P0565,Cruise Control On Signal,24,P0
P0566,Cruise Control Off Signal,25,P0
P0567,Cruise Control Resume Signal,28,P0
P0568,Cruise Control Set Signal,25,P0
P0569,Cruise Control Coast Signal,27,P0
P056A,Cruise Control Increase Distance Signal,39,P0
P056B,Cruise Control Decrease Distance Signal,39,P0
P056C,Cruise Control Cancel Signal,28,P0
P056D,Reductant Control Module System Voltage,39,P0
P056E,Cold Start Turbocharger/Supercharger Boost Control A Performance,64,P0
P056F,Cold Start Turbocharger/Supercharger Boost Control B Performance,64,P0
P0570,Cruise Control Accelerate Signal,32,P0
P0571,Brake Switch A Circuit,22,P0
P0572,Brake Switch A Circuit Low,26,P0
P0573,Brake Switch A Circuit High,27,P0
P0574,Cruise Control System - Vehicle Speed Too High,46,P0
P0575,Cruise Control Input Circuit,28,P0
P0576,Cruise Control Input Circuit Low,32,P0
P0577,Cruise Control Input Circuit High,33,P0
P0578,Cruise Control Multi-Function Input A Circuit Stuck,51,P0
P0579,Cruise Control Multi-Function Input A Circuit Range/Performance,63,P0
P057A,Brake Pedal Position Sensor A Circuit/Open,42,P0
P057B,Brake Pedal Position Sensor A Circuit Range/Performance,55,P0
P057C,Brake Pedal Position Sensor A Circuit Low,41,P0
P057D,Brake Pedal Position Sensor A Circuit High,42,P0
P057E,Brake Pedal Position Sensor A Circuit Intermittent/Erratic,58,P0
P057F,Battery A State of Charge Performance,37,P0
P0580,Cruise Control Multi-Function Input A Circuit Low,49,P0
P0581,Cruise Control Multi-Function Input A Circuit High,50,P0
P0582,Cruise Control Vacuum Control Circuit/Open,42,P0
P0583,Cruise Control Vacuum Control Circuit Low,41,P0
P0584,Cruise Control Vacuum Control Circuit High,42,P0
P0585,Cruise Control Multi-Function Input A/B Correlation,51,P0
P0586,Cruise Control Vent Control Circuit/Open,40,P0
P0587,Cruise Control Vent Control Circuit Low,39,P0
P0588,Cruise Control Vent Control Circuit High,40,P0
P0589,Cruise Control Multi-Function Input B Circuit,45,P0
P058A,Battery Monitor Module Performance,34,P0
P058B,Battery Monitor Module Current Monitoring Performance,53,P0
P058C,Battery Monitor Module Temperature Monitoring Performance,57,P0
P058D,Battery Monitor Module Voltage Monitoring Performance,53,P0
P058E,Battery Monitor Module Temperature Too High,43,P0
P058F,Battery Monitor Module Temperature Too Low,42,P0
P0590,Cruise Control Multi-Function Input B Circuit Stuck,51,P0
P0591,Cruise Control Multi-Function Input B Circuit Range/Performance,63,P0
P0592,Cruise Control Multi-Function Input B Circuit Low,49,P0
P0593,Cruise Control Multi-Function Input B Circuit High,50,P0
P0594,Cruise Control Servo Control Circuit/Open,41,P0
P0595,Cruise Control Servo Control Circuit Low,40,P0
P0596,Cruise Control Servo Control Circuit High,41,P0
P0597,Thermostat Heater Control Circuit/Open,38,P0
P0598,Thermostat Heater Control Circuit Low,37,P0
P0599,Thermostat Heater Control Circuit High,38,P0
P059A,Active Grille Air Shutter A Position Sensor Circuit,51,P0
P059B,Active Grille Air Shutter A Position Sensor Circuit Range/Performance,69,P0
P059C,Active Grille Air Shutter A Position Sensor Circuit High,56,P0
P059D,Active Grille Air Shutter A Position Sensor Circuit Low,55,P0
P059E,Active Grille Air Shutter A Position Sensor Circuit Intermittent,64,P0
P059F,Active Grille Air Shutter A Performance/Stuck Off,49,P0
P05A0,Active Grille Air Shutter A Stuck On,36,P0
P05A1,Active Grille Air Shutter A Position Sensor Minimum/Maximum Stop Performance,76,P0
P05A2,Active Grille Air Shutter A Control Circuit/Open,48,P0
P05A3,Active Grille Air Shutter A Control Circuit Range/Performance,61,P0
P05A4,Active Grille Air Shutter A Control Circuit High,48,P0
P05A5,Active Grille Air Shutter A Control Circuit Low,47,P0
P05A6,Active Grille Air Shutter A Supply Voltage Circuit/Open,55,P0
P05A7,Active Grille Air Shutter A Supply Voltage Circuit Low,54,P0
P05A8,Active Grille Air Shutter A Supply Voltage Circuit High,55,P0
P05A9,Active Grille Air Shutter B Position Sensor Circuit,51,P0
P05AA,Active Grille Air Shutter B Position Sensor Circuit Range/Performance,69,P0
P05AB,Active Grille Air Shutter B Position Sensor Circuit High,56,P0
P05AC,Active Grille Air Shutter B Position Sensor Circuit Low,55,P0
P05AD,Active Grille Air Shutter B Position Sensor Circuit Intermittent,64,P0
P05AE,Active Grille Air Shutter B Performance/Stuck Off,49,P0
P05AF,Active Grille Air Shutter B Stuck On,36,P0
P05B0,Active Grille Air Shutter B Position Sensor Minimum/Maximum Stop Performance,76,P0
P05B1,Active Grille Air Shutter B Control Circuit/Open,48,P0
P05B2,Active Grille Air Shutter B Control Circuit Range/Performance,61,P0
P05B3,Active Grille Air Shutter B Control Circuit High,48,P0
P05B4,Active Grille Air Shutter B Control Circuit Low,47,P0
P05B5,Active Grille Air Shutter B Supply Voltage Circuit/Open,55,P0
P05B6,Active Grille Air Shutter B Supply Voltage Circuit Low,54,P0
P05B7,Active Grille Air Shutter B Supply Voltage Circuit High,55,P0
P05B8,Restraint Deployment Signal Circuit/Open,40,P0
P05B9,Restraint Deployment Signal Circuit Low,39,P0
P05BA,Restraint Deployment Signal Circuit High,40,P0
P05BB,Restraints Deployed,19,P0
P05BC,Stop-Start Mode Switch Circuit/Open,35,P0
P05BD,Stop-Start Mode Switch Circuit Range/Performance,48,P0
P05BE,Stop-Start Mode Switch Circuit Low,34,P0
P05BF,Stop-Start Mode Switch Circuit High,35,P0
P05C0,Active Grille Air Shutter Module A Over Temperature,51,P0
P05C1,Active Grille Air Shutter Module B Over Temperature,51,P0
P05C2,Engine Coolant Pressure Sensor Circuit,38,P0
P05C3,Engine Coolant Pressure Sensor Circuit Range/Performance,56,P0
P05C4,Engine Coolant Pressure Sensor Circuit Low,42,P0
P05C5,Engine Coolant Pressure Sensor Circuit High,43,P0
P05C6,Engine Coolant Pressure Sensor Circuit Intermittent/Erratic,59,P0
P05C7,Economy Mode Switch Circuit/Open,32,P0
P05C8,Economy Mode Switch Circuit Range/Performance,45,P0
P05C9,Economy Mode Switch Circuit Low,31,P0
P05CA,Economy Mode Switch Circuit High,32,P0
P05CB,Vehicle Hardware Incompatibility,32,P0
P05CC,Cold Start A Camshaft Position Timing Performance Bank 1,56,P0
P05CD,Cold Start A Camshaft Position Timing Performance Bank 2,56,P0
P05CE,Cold Start B Camshaft Position Timing Performance Bank 1,56,P0
P05CF,Cold Start B Camshaft Position Timing Performance Bank 2,56,P0
P05D0,Driver Mode Select Switch A Circuit,35,P0
P05D1,Driver Mode Select Switch A Circuit Low,39,P0
P05D2,Driver Mode Select Switch A Circuit High,40,P0
P05D3,Driver Mode Select Switch A Range/Performance,45,P0
P05D4,Driver Mode Select Switch B Circuit,35,P0
P05D5,Driver Mode Select Switch B Circuit Low,39,P0
P05D6,Driver Mode Select Switch B Circuit High,40,P0
P05D7,Driver Mode Select Switch B Range/Performance,45,P0
P05D8,PCV Regulator Valve Control Circuit/Open,40,P0
P05D9,PCV Regulator Valve Control Circuit Low,39,P0
P05DA,PCV Regulator Valve Control Circuit High,40,P0
P05DB,Brake Pedal Position Sensor B Circuit/Open,42,P0
P05DC,Brake Pedal Position Sensor B Circuit Range/Performance,55,P0
P05DD,Brake Pedal Position Sensor B Circuit Low,41,P0
P05DE,Brake Pedal Position Sensor B Circuit High,42,P0
P05DF,Brake Pedal Position Sensor B Circuit Intermittent/Erratic,58,P0
P05E0,Brake Pedal Position Sensor A/B Correlation,43,P0
P05E1,A/C Refrigerant Pressure Sensor A Circuit Intermittent/Erratic,62,P0
P05E2,A/C Refrigerant Pressure Sensor B Circuit Intermittent/Erratic,62,P0
P05E3,Park Brake Sensor/Switch Circuit,32,P0
P05E4,Park Brake Sensor/Switch Circuit Low,36,P0
P05E5,Park Brake Sensor/Switch Circuit High,37,P0
P05E6,Park Brake Sensor/Switch Circuit Range/Performance,50,P0
P05E7,Park Brake Sensor/Switch Circuit Intermittent/Erratic,53,P0
P05E8,Engine Oil Bypass Valve Control Circuit/Open,44,P0
P05E9,Engine Oil Bypass Valve Control Circuit Low,43,P0
P05EA,Engine Oil Bypass Valve Control Circuit High,44,P0
P05EB,Cold Start SCR NOx Catalyst Inlet Temperature Too Low,53,P0
P05EC,Cold Start Injection Timing Performance,39,P0
P05ED,Reductant Heater Control Module Supply Voltage,46,P0
P05EE,Reductant Pump Supply Voltage Circuit/Open,42,P0
P05EF,Reductant Pump Supply Voltage Circuit Low,41,P0
P05F0,Reductant Pump Supply Voltage Circuit High,42,P0
P05F1,Reductant Pump Supply Voltage Circuit Stuck On,46,P0
P05F2,Reductant Pump Supply Voltage Circuit Stuck Off,47,P0
P05F3,Exhaust Aftertreatment Power Relay Control Circuit/Open,55,P0
P05F4,Exhaust Aftertreatment Power Relay Control Circuit Low,54,P0
P05F5,Exhaust Aftertreatment Power Relay Control Circuit High,55,P0
P05F6,Exhaust Aftertreatment Power Relay Control Circuit Stuck On,59,P0
P05F7,Exhaust Aftertreatment Power Relay Control Circuit Stuck Off,60,P0
P05F8,Reductant Heater Control Module Performance,43,P0
P05F9,Stop-Start Status Signal Circuit,32,P0
P05FA,Stop-Start Status Signal Circuit Low,36,P0
P05FB,Stop-Start Status Signal Circuit High,37,P0
P05FC,Cold Start Fuel Pressure Performance Bank 2,43,P0
P05FD,Turbocharger/Supercharger Boost Control A Temperature Too High,62,P0
P05FE,Active Grille Air Shutter C Performance/Stuck Off,49,P0
P05FF,Brake Pressure Sensor / Brake Pedal Position Sensor Correlation,63,P0
P0600,Serial Communication Link,25,P0
P0601,Internal Control Module Memory Checksum Error,45,P0
P0602,Control Module Programming Error,32,P0
P0603,Internal Control Module Keep Alive Memory (KAM) Error,53,P0
P0604,Internal Control Module Random Access Memory (RAM) Error,56,P0
P0605,Internal Control Module Read Only Memory (ROM) Error,52,P0
P0606,Control Module Processor,24,P0
P0607,Control Module Performance,26,P0
P0608,Control Module VSS Output A,27,P0
P0609,Control Module VSS Output B,27,P0
P060A,Internal Control Module Monitoring Processor Performance,56,P0
P060B,Internal Control Module A/D Processing Performance,50,P0
P060C,Internal Control Module Main Processor Performance,50,P0
P060D,Internal Control Module Accelerator Pedal Position Performance,62,P0
P060E,Internal Control Module Throttle Position Performance,53,P0
P060F,Internal Control Module Coolant Temperature Performance,55,P0
